,Common Name,Kingdom,Phylum,Class,Order,Family,Genus,SPECIES,Continents,Countries,Biome,Lifestyle,Seasonal behavior,Ref,Animalia_Link,Regions,Subcontinents,Group name,Islands,Introduced Countries,Subclass,Infraclass,Superorder,Suborder,Subfamily,Oceans,Seas,Tribe,SUBSPECIES OF
0,marbled-wrenbabbler,,,,,,,,,,,,,,https://animalia.bio/marbled-wrenbabbler/,,,,,,,,,,,,,,
0,marblefaced-bristle-tyrant,,,,,,,,,,,,,,https://animalia.bio/marblefaced-bristle-tyrant/,,,,,,,,,,,,,,
0,marcapata-spinetail,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Cranioleuca,Cranioleuca marcapatae,South America,Peru,"Forest,Mountains","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Marcapata_spinetail,https://www.iucnredlist.org/species/103674421/180871559,https://xeno-canto.org/221717",https://animalia.bio/marcapata-spinetail/,,,,,,,,,,,,,,
0,margarets-batis,Animalia,Chordata,Aves,Passeriformes,Platysteiridae,Batis,Batis margaritae,Africa,"Angola,","Anthropogenic biome,Forest,Mountains,Shrubland",,,"https://en.wikipedia.org/wiki/Margaret's_batis,https://www.iucnredlist.org/species/22707830/94139334,https://xeno-canto.org/508731",https://animalia.bio/margarets-batis/,,,,,,,,,,,,,,
0,mariana-crow,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus kubaryi,,,"Forest,Mangrove",,,"https://en.wikipedia.org/wiki/Mariana_crow,https://www.iucnredlist.org/species/22705959/129626293,https://xeno-canto.org/254699",https://animalia.bio/mariana-crow/,Northern Mariana Islands,,,,,,,,,,,,,
0,mariana-fruit-dove,Animalia,Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus roseicapilla,,,"Anthropogenic biome,Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Mariana_fruit_dove,https://www.iucnredlist.org/species/22691435/93312366,https://xeno-canto.org/394600",https://animalia.bio/mariana-fruit-dove/,Northern Mariana Islands,,,,,,,,,,,,,
0,mariana-kingfisher,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus albicilla,,United States,"Agricultural,Anthropogenic biome,Forest",,,"https://en.wikipedia.org/wiki/Mariana_kingfisher,https://xeno-canto.org/24294",https://animalia.bio/mariana-kingfisher/,,,,,,Neornithes,Neognathae,Neoaves,Alcedini,Halcyoninae,,,,
0,mariana-swiftlet,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus bartschi,,,"Anthropogenic biome,Caves and Subterranean Habitats,Forest,Grassland,Mangrove",,,"https://en.wikipedia.org/wiki/Mariana_swiftlet,https://www.iucnredlist.org/species/22728583/94990600",https://animalia.bio/mariana-swiftlet/,"Guam,",,,,United States,,,,,,,,,
0,marianne-whiteeye,,,,,,,,,,,,,,https://animalia.bio/marianne-whiteeye/,,,,,,,,,,,,,,
0,marico-flycatcher,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Bradornis,Melaenornis mariquensis,Africa,"South Africa,","Anthropogenic biome,Grassland,Savanna,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Marico_flycatcher,https://www.iucnredlist.org/species/22709044/94190364",https://animalia.bio/marico-flycatcher/,,,,,,,,,,,,,,
0,marico-sunbird,Animalia,Chordata,Aves,Passeriformes,Nectariniidae,Cinnyris,Cinnyris mariquensis,Africa,"South Africa,","Freshwater,Forest,Savanna,Shrubland,Wetlands,Desert,Woodland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Marico_sunbird,https://www.iucnredlist.org/species/22718003/131882840,https://xeno-canto.org/600168",https://animalia.bio/marico-sunbird/,"Angola,",,,,,,,,,,,,,
0,marigold-lorikeet,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Trichoglossus,Trichoglossus capistratus,Asia,"Indonesia,","Anthropogenic biome,Forest,Shrubland,Agricultural,Woodland","Terrestrial, ,Oviparous, ,Arboreal",Not a migrant,"https://en.wikipedia.org/wiki/Marigold_lorikeet,https://www.iucnredlist.org/species/22725321/94890136,https://xeno-canto.org/179171",https://animalia.bio/marigold-lorikeet/,,,,,,,,,,,,,,
0,markhams-storm-petrel,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Hydrobates,Oceanodroma markhami,"South America,",North America,"Neritic zone,Oceanic pelagic zone,Marine",,,"https://en.wikipedia.org/wiki/Markham's_storm_petrel,https://www.iucnredlist.org/species/22698543/156377889,https://xeno-canto.org/704947",https://animalia.bio/markhams-storm-petrel/,,,,,,,,,,,,,,
0,marmoras-warbler,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Curruca sarda,"Europe,",Africa,"Grassland,Shrubland",,,"https://en.wikipedia.org/wiki/Marmora's_warbler,https://www.iucnredlist.org/species/22735017/87766144",https://animalia.bio/marmoras-warbler/,,,,,,,,,,,,,,
0,maroon-oriole,Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus,Oriolus traillii,Asia,"China,",Forest,"Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Maroon_oriole,https://www.iucnredlist.org/species/22706446/130378420,https://xeno-canto.org/649564",https://animalia.bio/maroon-oriole/,,,,,,,,,,,,,,
0,maroon-shining-parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Prosopeia,Prosopeia tabuensis,,Fiji,"Anthropogenic biome,Forest,Shrubland,Agricultural,Mangrove","Terrestrial, ,Oviparous, ,Arboreal",Not a migrant,"https://en.wikipedia.org/wiki/Maroon_shining_parrot,https://www.iucnredlist.org/species/22685041/132056747,https://xeno-canto.org/386866",https://animalia.bio/maroon-shining-parrot/,,,,,Tonga,,,,,,,,,
0,maroon-woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Blythipicus,Blythipicus rubiginosus,Asia,"Brunei,","Freshwater,Anthropogenic biome,Forest,Wetlands,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Maroon_woodpecker,https://www.iucnredlist.org/species/22681543/92910307,https://xeno-canto.org/639822",https://animalia.bio/maroon-woodpecker/,,,,,,,,,,,,,,
0,maroonbacked-accentor,,,,,,,,,,,,,,https://animalia.bio/maroonbacked-accentor/,,,,,,,,,,,,,,
0,maroonbacked-whistler,,,,,,,,,,,,,,https://animalia.bio/maroonbacked-whistler/,,,,,,,,,,,,,,
0,maroonbellied-parakeet,,,,,,,,,,,,,,https://animalia.bio/maroonbellied-parakeet/,,,,,,,,,,,,,,
0,maroonbelted-chattyrant,,,,,,,,,,,,,,https://animalia.bio/maroonbelted-chattyrant/,,,,,,,,,,,,,,
0,maroonbreasted-philentoma,,,,,,,,,,,,,,https://animalia.bio/maroonbreasted-philentoma/,,,,,,,,,,,,,,
0,maroonchested-ground-dove,,,,,,,,,,,,,,https://animalia.bio/maroonchested-ground-dove/,,,,,,,,,,,,,,
0,maroonfronted-parrot,,,,,,,,,,,,,,https://animalia.bio/maroonfronted-parrot/,,,,,,,,,,,,,,
0,maroonnaped-sunbird,,,,,,,,,,,,,,https://animalia.bio/maroonnaped-sunbird/,,,,,,,,,,,,,,
0,maroontailed-parakeet,,,,,,,,,,,,,,https://animalia.bio/maroontailed-parakeet/,,,,,,,,,,,,,,
0,marquesan-ground-dove,Animalia,Chordata,Aves,Columbiformes,Columbidae,Alopecoenas,Pampusana rubescens,,,"Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Marquesan_ground_dove,https://www.iucnredlist.org/species/22691061/118535609",https://animalia.bio/marquesan-ground-dove/,French Polynesia,,,,,,,,,,,,,
0,marquesan-imperial-pigeon,Animalia,Chordata,Aves,Columbiformes,Columbidae,Ducula,Ducula galeata,,,"Anthropogenic biome,Forest,Agricultural,Woodland,Rocky areas",,,"https://en.wikipedia.org/wiki/Marquesan_imperial_pigeon,https://www.iucnredlist.org/species/22691674/93320826,https://xeno-canto.org/442900",https://animalia.bio/marquesan-imperial-pigeon/,French Polynesia,,,,,,,,,,,,,
0,marquesan-kingfisher,,,,,,,,,,,,,,https://animalia.bio/marquesan-kingfisher/,,,,,,,,,,,,,,
0,marquesan-monarch,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Pomarea,Pomarea mendozae,,,"Anthropogenic biome,Forest,Shrubland,Grassland,Mountains",,,"https://en.wikipedia.org/wiki/Marquesan_monarch,https://www.iucnredlist.org/species/22734320/95082504",https://animalia.bio/marquesan-monarch/,French Polynesia,,,,,,,,,,,,,
0,marquesan-swiftlet,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus ocistus,,,Forest,,,https://en.wikipedia.org/wiki/Marquesan_swiftlet,https://animalia.bio/marquesan-swiftlet/,French Polynesia,,,,,,,,,,,,,
0,marsh-antwren,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Formicivora,Formicivora acutirostris,South America,Brazil,"Freshwater,Grassland,Wetlands,Marsh,Swamp",,,"https://en.wikipedia.org/wiki/Marsh_antwren,https://www.iucnredlist.org/species/22724477/156172606",https://animalia.bio/marsh-antwren/,,,,,,,,,,,,,,
0,marsh-babbler,Animalia,Chordata,Aves,Passeriformes,Pellorneidae,Pellorneum,Pellorneum palustre,Asia,"India,","Grassland,Savanna,Shrubland,Wetlands,Marsh",,,"https://en.wikipedia.org/wiki/Marsh_babbler,https://www.iucnredlist.org/species/22715856/94471679,https://xeno-canto.org/659334",https://animalia.bio/marsh-babbler/,,,,,,,,,,,,,,
0,marsh-grassbird,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,Helopsaltes pryeri,Asia,"China,","Freshwater,Wetlands,Marsh,Swamp",,,"https://en.wikipedia.org/wiki/Marsh_grassbird,https://www.iucnredlist.org/species/22715480/117654950,https://xeno-canto.org/616436",https://animalia.bio/marsh-grassbird/,,,,,,,,,,,,,,
0,marsh-owl,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio capensis,Africa,"Morocco,","Freshwater,Anthropogenic biome,Grassland,Intertidal zone,Savanna,Wetlands,Marine,Shrubland,Marsh","Terrestrial, ,Oviparous, ,Altricial, ,Territorial",Migrating,"https://en.wikipedia.org/wiki/Marsh_owl,https://www.iucnredlist.org/species/22689535/93235768,https://xeno-canto.org/708210",https://animalia.bio/marsh-owl/,"South Africa,",,,,,,,,,,,,,
0,marsh-sandpiper,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa stagnatilis,"Europe,","Asia,","Freshwater,Intertidal zone,Wetlands,Coastal,Anthropogenic biome,Marine,Grassland,Taiga,Marsh,Swamp","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Wading bird",Migrating,"https://en.wikipedia.org/wiki/Marsh_sandpiper,https://www.iucnredlist.org/species/22693216/86691256,https://xeno-canto.org/705125",https://animalia.bio/marsh-sandpiper/,Africa,,,,,,,,,,,,,
0,marsh-seedeater,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,Sporophila palustris,South America,"Argentina,","Grassland,Wetlands,Marsh","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/Marsh_seedeater,https://www.iucnredlist.org/species/22723487/155619926,https://xeno-canto.org/686957",https://animalia.bio/marsh-seedeater/,,,,,,,,,,,,,,
0,marsh-tapaculo,Animalia,Chordata,Aves,Passeriformes,Rhinocryptidae,Scytalopus,Scytalopus iraiensis,South America,Brazil,"Freshwater,Grassland,Wetlands,Marsh",,,"https://en.wikipedia.org/wiki/Marsh_tapaculo,https://www.iucnredlist.org/species/22728464/94986972,https://xeno-canto.org/556577",https://animalia.bio/marsh-tapaculo/,,,,,,,,,,,,,,
0,marsh-tchagra,Animalia,Chordata,Aves,Passeriformes,Malaconotidae,Bocagia,Bocagia minuta,Africa,"Angola,","Freshwater,Anthropogenic biome,Grassland,Shrubland,Wetlands,Marsh,Swamp","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Marsh_tchagra,https://www.iucnredlist.org/species/22707482/118751243,https://xeno-canto.org/699704",https://animalia.bio/marsh-tchagra/,,,,,,,,,,,,,,
0,marsh-tit,Animalia,Chordata,Aves,Passeriformes,Paridae,Poecile,Poecile palustris,"Europe,",Asia,"Freshwater,Anthropogenic biome,Forest,Shrubland,Wetlands,Marine,Agricultural,Woodland,Mountains,Marsh","Terrestrial, ,Oviparous, ,Altricial",Not a migrant,"https://en.wikipedia.org/wiki/Marsh_tit,https://www.iucnredlist.org/species/22735995/118837418,https://xeno-canto.org/707391",https://animalia.bio/marsh-tit/,"China,",,,,,,,,,,,,,
0,marsh-warbler,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus palustris,"Europe,","Asia,","Freshwater,Anthropogenic biome,Forest,Grassland,Shrubland,Wetlands,Urban wildlife,Woodland,Marsh","Terrestrial, ,Oviparous, ,Territorial",Migrating,"https://en.wikipedia.org/wiki/Marsh_warbler,https://www.iucnredlist.org/species/22714741/155434933,https://xeno-canto.org/707437",https://animalia.bio/marsh-warbler/,Africa,,,,,,,,,,,,,
0,marsh-widowbird,Animalia,Chordata,Aves,Passeriformes,Ploceidae,Euplectes,Euplectes hartlaubi,Africa,"Angola,","Freshwater,Anthropogenic biome,Grassland,Wetlands,Marsh",,,"https://en.wikipedia.org/wiki/Marsh_widowbird,https://www.iucnredlist.org/species/22719233/131992503,https://xeno-canto.org/508914",https://animalia.bio/marsh-widowbird/,,,,,,,,,,,,,,
0,marsh-wren,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,Cistothorus palustris,North America,"United States,","Intertidal zone,Wetlands,Freshwater,Marine,Marsh","Terrestrial, ,Arboreal, ,Altricial, ,Oviparous","Partially migrant, ,Migrating","https://en.wikipedia.org/wiki/Marsh_wren,https://www.iucnredlist.org/species/22711374/94291392,https://xeno-canto.org/707218",https://animalia.bio/marsh-wren/,,,"chime, herd",,,,,,,,,,,
0,marshalls-iora,Animalia,Chordata,Aves,Passeriformes,Aegithinidae,Aegithina,Aegithina nigrolutea,Asia,"India,","Anthropogenic biome,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Marshall's_iora,https://www.iucnredlist.org/species/22707436/94123937,https://xeno-canto.org/628304",https://animalia.bio/marshalls-iora/,,,,,,,,,,,,,,
0,martenss-warbler,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus omeiensis,Asia,"China,","Forest,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Martens's_warbler,https://www.iucnredlist.org/species/22732738/95048624,https://xeno-canto.org/285254",https://animalia.bio/martenss-warbler/,,,,,,,,,,,,,,
0,martial-eagle,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Polemaetus,Polemaetus bellicosus,Africa,"Angola,","Tropical savanna,Tropical moist forests,Rivers,Forest,Grassland,Shrubland,Freshwater,Savanna,Wetlands,Desert,Dunes,Woodland,Mountains,Rocky areas","Terrestrial, ,Arboreal, ,Apex predator, ,Soaring birds, ,Altricial, ,Territorial, ,Oviparous, ,Soaring, ,Gliding, ,Ambush predator, ,Nomadic",Not a migrant,"https://en.wikipedia.org/wiki/Martial_eagle,https://www.iucnredlist.org/species/22696116/129915349,https://xeno-canto.org/459351",https://animalia.bio/martial-eagle/,,Sub-Saharan Africa,"aerie, convocation",,,,,,,,,,,
0,martinique-oriole,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,Icterus bonana,North America,,"Agricultural,Anthropogenic biome,Forest,Mountains,Mangrove",,,"https://en.wikipedia.org/wiki/Martinique_oriole,https://www.iucnredlist.org/species/22724150/179996137",https://animalia.bio/martinique-oriole/,Martinique,,,,,,,,,,,,,
0,marvellous-spatuletail,,,,,,,,,,,,,,https://animalia.bio/marvellous-spatuletail/,,,,,,,,,,,,,,
0,masafuera-rayadito,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Aphrastura,Aphrastura masafuerae,South America,Chile,"Freshwater,Forest,Shrubland,Wetlands,Mountains,Rocky areas","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masafuera_rayadito,https://www.iucnredlist.org/species/22702156/125419923",https://animalia.bio/masafuera-rayadito/,,,,,,,,,,,,,,
0,mascarene-coot,,,,,,,,,,,,,,https://animalia.bio/mascarene-coot/,,,,,,,,,,,,,,
0,mascarene-grey-parakeet,,,,,,,,,,,,,,https://animalia.bio/mascarene-grey-parakeet/,,,,,,,,,,,,,,
0,mascarene-martin,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Phedina,Phedina borbonica,Africa,"Mauritius,","Freshwater,Anthropogenic biome,Forest,Intertidal zone,Rocky areas,Savanna,Shrubland,Wetlands,Coastal,Marine,Caves and Subterranean Habitats,Desert,Woodland","Terrestrial, ,Oviparous, ,Altricial, ,Burrowing, ,Gliding",Migrating,"https://en.wikipedia.org/wiki/Mascarene_martin,https://www.iucnredlist.org/species/22712198/94324072,https://xeno-canto.org/622777",https://animalia.bio/mascarene-martin/,"Madagascar,",,,,,,,,,,,,,
0,mascarene-paradise-flycatcher,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Terpsiphone,Terpsiphone bourbonnensis,Africa,Mauritius,"Anthropogenic biome,Forest,Agricultural","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Mascarene_paradise_flycatcher,https://www.iucnredlist.org/species/22707140/94108226,https://xeno-canto.org/472147",https://animalia.bio/mascarene-paradise-flycatcher/,Réunion,,,,,,,,,,,,,
0,mascarene-parrot,,,,,,,,,,,,,,https://animalia.bio/mascarene-parrot/,,,,,,,,,,,,,,
0,mascarene-petrel,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pseudobulweria,Pseudobulweria aterrima,Africa,,"Neritic zone,Oceanic pelagic zone,Shrubland,Marine,Mountains",,,"https://en.wikipedia.org/wiki/Mascarene_petrel,https://www.iucnredlist.org/species/22697896/132611797",https://animalia.bio/mascarene-petrel/,Réunion,,,,,,,,,,,,,
0,mascarene-swiftlet,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus francicus,Africa,Mauritius,"Anthropogenic biome,Caves and Subterranean Habitats,Forest,Grassland,Shrubland,Agricultural","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Mascarene_swiftlet,https://www.iucnredlist.org/species/22686511/154346114,https://xeno-canto.org/471886",https://animalia.bio/mascarene-swiftlet/,Réunion,,,,,,,,,,,,,
0,mascarene-teal,,,,,,,,,,,,,,https://animalia.bio/mascarene-teal/,,,,,,,,,,,,,,
0,masked-antpitta,Animalia,Chordata,Aves,Passeriformes,Grallariidae,Hylopezus,Hylopezus auricularis,South America,Bolivia,"Anthropogenic biome,Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Masked_antpitta,https://www.iucnredlist.org/species/22728454/132032705,https://xeno-canto.org/435495",https://animalia.bio/masked-antpitta/,,,,,,,,,,,,,,
0,masked-booby,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,Sula dactylatra,"North America,","South America,","Coastal,Oceanic pelagic zone,Marine,Intertidal zone,Neritic zone,Rocky areas","Gliding, ,Nomadic, ,Terrestrial, ,Oviparous, ,Altricial, ,Territorial, ,Seabird",Not a migrant,"https://en.wikipedia.org/wiki/Masked_booby,https://www.iucnredlist.org/species/22736173/132666363,https://xeno-canto.org/431821",https://animalia.bio/masked-booby/,"Asia,",,,Africa,,Neornithes,Neognathae,Neoaves,,,,,,
0,masked-bowerbird,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Sericulus,Sericulus aureus,Asia,"Papua New Guinea,","Forest,Savanna,Rainforest",,,"https://en.wikipedia.org/wiki/Masked_bowerbird,https://www.iucnredlist.org/species/103683932/93931853,https://xeno-canto.org/62367",https://animalia.bio/masked-bowerbird/,,,,,,,,,,,,,,
0,masked-cardinal,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Paroaria,Paroaria nigrogenis,"South America,",North America,"Forest,Savanna","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masked_cardinal,https://www.iucnredlist.org/species/22736357/132189303,https://xeno-canto.org/465722",https://animalia.bio/masked-cardinal/,,,,,,,,,,,,,,
0,masked-crimson-tanager,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Ramphocelus,Ramphocelus nigrogularis,South America,"Ecuador,","Forest,Shrubland,Wetlands,Swamp,Riparian","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masked_crimson_tanager,https://www.iucnredlist.org/species/22722497/132154155,https://xeno-canto.org/627395",https://animalia.bio/masked-crimson-tanager/,,,,,,,,,,,,,,
0,masked-duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,Nomonyx,Nomonyx dominicus,"North America,",South America,"Freshwater,Forest,Wetlands,Mangrove,Marsh,Swamp","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Waterfowl",Migrating,"https://en.wikipedia.org/wiki/Masked_duck,https://www.iucnredlist.org/species/22679789/92830407,https://xeno-canto.org/403613",https://animalia.bio/masked-duck/,"Antigua and Barbuda,",,,,,,,,,,,,,
0,masked-finch,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Poephila,Poephila personata,,Australia,"Anthropogenic biome,Forest,Savanna","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masked_finch,https://www.iucnredlist.org/species/22719685/94639239,https://xeno-canto.org/434306",https://animalia.bio/masked-finch/,,,,,,,,,,,,,,
0,masked-finfoot,Animalia,Chordata,Aves,Gruiformes,Heliornithidae,Heliopais,Heliopais personatus,Asia,"India,","Freshwater,Forest,Wetlands,Mangrove,Savanna,Swamp",,,"https://en.wikipedia.org/wiki/Masked_finfoot,https://www.iucnredlist.org/species/22692181/93340327,https://xeno-canto.org/446810",https://animalia.bio/masked-finfoot/,,,,,,Neornithes,Neognathae,Neoaves,,,,,,
0,masked-flowerpiercer,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Diglossa,Diglossa cyanea,South America,"Ecuador,","Anthropogenic biome,Forest,Shrubland,Woodland,Mountains","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masked_flowerpiercer,https://www.iucnredlist.org/species/22723715/94830099,https://xeno-canto.org/578573",https://animalia.bio/masked-flowerpiercer/,,,,,,,,,,,,,,
0,masked-fruiteater,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Pipreola,Pipreola pulchra,South America,Peru,"Forest,Mountains,Montane forest","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masked_fruiteater,https://www.iucnredlist.org/species/22700800/93797288,https://xeno-canto.org/450256",https://animalia.bio/masked-fruiteater/,,,,,,,,,,,,,,
0,masked-gnatcatcher,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,Polioptila dumicola,South America,"Argentina,","Forest,Savanna,Shrubland,Mountains","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masked_gnatcatcher,https://www.iucnredlist.org/species/22711614/132100270,https://xeno-canto.org/708781",https://animalia.bio/masked-gnatcatcher/,,,,,,,,,,,,,,
0,masked-lapwing,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus miles,Asia,"Australia,","Freshwater,Anthropogenic biome,Wetlands,Agricultural","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Territorial, ,Wading bird",Not a migrant,"https://en.wikipedia.org/wiki/Masked_lapwing,https://www.iucnredlist.org/species/22725229/94887836,https://xeno-canto.org/692381",https://animalia.bio/masked-lapwing/,,,,,,,,,,,,,,
0,masked-lark,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Spizocorys,Spizocorys personata,Africa,"Ethiopia,","Grassland,Shrubland",,,"https://en.wikipedia.org/wiki/Masked_lark,https://www.iucnredlist.org/species/22717364/94529008",https://animalia.bio/masked-lark/,,,,,,,,,,,,,,
0,masked-laughingthrush,Animalia,Chordata,Aves,Passeriformes,Leiotrichidae,Garrulax,Pterorhinus perspicillatus,Asia,"China,","Freshwater,Anthropogenic biome,Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Masked_laughingthrush,https://www.iucnredlist.org/species/22715595/94460945,https://xeno-canto.org/704678",https://animalia.bio/masked-laughingthrush/,,,,,,,,,,,,,,
0,masked-mountain-tanager,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tephrophilus,Tephrophilus wetmorei,South America,"Ecuador,","Forest,Shrubland,Woodland,Mountains",,,"https://en.wikipedia.org/wiki/Masked_mountain_tanager,https://www.iucnredlist.org/species/22722616/132155834",https://animalia.bio/masked-mountain-tanager/,,,,,,,,,,,,,,
0,masked-saltator,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Saltator,Saltator cinctus,South America,"Ecuador,","Forest,Mountains,Montane forest",,,"https://en.wikipedia.org/wiki/Masked_saltator,https://www.iucnredlist.org/species/22723898/180361331,https://xeno-canto.org/692077",https://animalia.bio/masked-saltator/,,,,,,,,,,,,,,
0,masked-shining-parrot,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Prosopeia,Prosopeia personata,,Fiji,"Anthropogenic biome,Forest,Agricultural,Mangrove,Mountains","Terrestrial, ,Oviparous, ,Arboreal",Not a migrant,"https://en.wikipedia.org/wiki/Masked_shining_parrot,https://www.iucnredlist.org/species/22685035/93056160,https://xeno-canto.org/607127",https://animalia.bio/masked-shining-parrot/,,,,,,,,,,,,,,
0,masked-shrike,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,Lanius nubicus,"Europe,","Africa,","Anthropogenic biome,Forest,Savanna,Shrubland,Agricultural,Woodland,Mountains","Terrestrial, ,Oviparous, ,Altricial, ,Territorial",Migrating,"https://en.wikipedia.org/wiki/Masked_shrike,https://www.iucnredlist.org/species/22705099/155574857,https://xeno-canto.org/603023",https://animalia.bio/masked-shrike/,Asia,,,,,,,,,,,,,
0,masked-tanager,,,,,,,,,,,,,,https://animalia.bio/masked-tanager/,,,,,,,,,,,,,,
0,masked-tityra,Animalia,Chordata,Aves,Passeriformes,Tityridae,Tityra,Tityra semifasciata,"South America,",North America,"Anthropogenic biome,Forest,Savanna,Woodland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masked_tityra,https://www.iucnredlist.org/species/22700689/130264515,https://xeno-canto.org/698623",https://animalia.bio/masked-tityra/,"Belize,",,,,,,,,,,,,,
0,masked-trogon,Animalia,Chordata,Aves,Trogoniformes,Trogonidae,Trogon,Trogon personatus,South America,"Ecuador,","Anthropogenic biome,Forest,Mountains","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masked_trogon,https://www.iucnredlist.org/species/22682807/92961531,https://xeno-canto.org/561431",https://animalia.bio/masked-trogon/,,,,,,,,,,,,,,
0,masked-water-tyrant,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Fluvicola,Fluvicola nengeta,South America,"Ecuador,","Freshwater,Anthropogenic biome,Shrubland,Wetlands,Forest,Mangrove","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Masked_water_tyrant,https://www.iucnredlist.org/species/22700284/110738105,https://xeno-canto.org/696955",https://animalia.bio/masked-water-tyrant/,,,,,,,,,,,,,,
